building_id,sensor_id,timestamp,total_kwh,hvac_kwh,lighting_kwh,plug_load_kwh,other_kwh,outdoor_temp_c,occupancy_count
BLD-HQ-01,MAIN-METER-01,2025-07-27 08:45:00,358.86,140.65,74.76,94.25,51.52,3.4,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 09:00:00,355.48,139.76,73.99,90.06,54.0,3.6,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 09:15:00,352.11,142.35,69.62,90.57,51.54,3.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 09:30:00,348.54,140.98,69.5,86.38,52.62,3.62,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 09:45:00,344.97,130.54,66.02,87.17,50.39,3.45,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 10:00:00,341.39,133.22,66.69,82.02,50.33,3.28,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 10:15:00,337.82,134.24,66.34,81.66,50.28,3.1,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 10:30:00,336.28,131.04,67.27,87.02,50.22,3.12,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 10:45:00,334.75,129.15,63.18,83.57,48.84,3.15,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 11:00:00,333.22,124.57,62.91,83.62,50.18,3.18,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 11:15:00,331.68,127.17,69.44,86.33,49.27,3.2,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 11:30:00,328.5,134.87,67.43,83.56,49.09,3.4,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 11:45:00,325.32,135.39,64.86,80.74,50.22,3.6,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 12:00:00,322.15,124.86,65.47,79.35,48.77,3.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 12:15:00,318.97,131.41,68.23,77.01,47.87,4.0,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 12:30:00,312.41,120.42,64.45,77.85,46.1,4.1,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 12:45:00,305.85,124.87,61.46,73.36,47.13,4.2,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 13:00:00,299.29,118.26,60.2,73.69,44.34,4.3,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 13:15:00,292.74,117.81,60.78,75.07,44.21,4.4,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 13:30:00,285.9,117.8,57.52,72.45,41.88,4.62,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 13:45:00,279.07,112.65,55.17,68.54,40.63,4.85,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 14:00:00,272.23,112.5,54.77,69.9,41.68,5.08,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 14:15:00,265.4,103.94,54.13,70.49,40.01,5.3,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 14:30:00,259.63,107.89,51.57,64.26,39.44,5.28,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 14:45:00,253.85,104.53,52.05,65.19,38.13,5.25,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 15:00:00,248.08,93.27,48.7,60.11,36.61,5.22,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 15:15:00,242.31,96.4,47.91,63.43,36.92,5.2,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 15:30:00,238.54,94.73,48.38,59.5,37.55,5.05,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 15:45:00,234.77,94.07,46.77,55.28,37.17,4.9,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 16:00:00,230.99,92.62,45.66,57.82,35.11,4.75,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 16:15:00,227.22,91.37,46.23,56.69,34.66,4.6,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 16:30:00,224.78,87.71,46.74,57.35,34.61,4.42,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 16:45:00,222.34,86.55,44.53,54.03,33.12,4.25,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 17:00:00,219.89,89.46,44.23,53.14,34.02,4.08,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 17:15:00,217.45,82.2,41.9,51.49,33.27,3.9,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 17:30:00,216.2,82.35,47.93,55.26,33.28,3.85,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 17:45:00,214.95,84.39,40.43,53.63,31.53,3.8,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 18:00:00,213.7,87.74,41.54,54.67,31.88,3.75,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 18:15:00,212.45,83.43,40.92,53.77,31.78,3.7,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 18:30:00,212.86,80.31,41.28,54.91,31.68,3.5,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 18:45:00,213.27,82.03,43.59,52.46,31.34,3.3,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 19:00:00,213.68,87.19,40.1,51.5,31.68,3.1,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 19:15:00,214.09,80.5,40.97,53.95,32.66,2.9,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 19:30:00,217.19,83.27,44.99,51.54,31.46,2.82,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 19:45:00,220.28,86.85,42.43,57.63,32.42,2.75,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 20:00:00,223.38,82.52,44.14,51.66,33.75,2.68,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 20:15:00,226.47,91.6,45.62,54.53,34.21,2.6,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 20:30:00,230.95,90.04,46.95,58.93,35.32,2.52,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 20:45:00,235.44,98.97,47.52,58.86,34.42,2.45,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 21:00:00,239.92,96.93,48.75,62.91,36.14,2.38,1
BLD-HQ-01,MAIN-METER-01,2025-07-27 21:15:00,244.4,97.73,48.98,60.12,35.93,2.3,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 21:30:00,250.1,97.16,49.53,60.67,38.92,2.22,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 21:45:00,255.79,101.25,51.87,63.31,36.23,2.15,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 22:00:00,261.49,101.16,53.18,66.31,37.36,2.08,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 22:15:00,267.18,108.69,54.85,65.11,40.36,2.0,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 22:30:00,272.19,104.81,56.61,69.58,39.92,1.98,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 22:45:00,277.2,111.16,54.33,67.76,41.36,1.95,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 23:00:00,282.2,108.06,55.39,68.0,40.52,1.92,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 23:15:00,287.21,118.83,57.46,67.09,45.51,1.9,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 23:30:00,292.37,113.02,60.49,73.87,43.17,1.88,0
BLD-HQ-01,MAIN-METER-01,2025-07-27 23:45:00,297.52,122.44,59.45,76.34,44.48,1.85,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 00:00:00,302.68,117.86,58.65,72.03,46.16,1.82,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 00:15:00,307.84,116.19,64.7,75.46,48.18,1.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 00:30:00,313.36,127.1,62.71,80.08,50.19,1.72,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 00:45:00,318.87,123.73,67.14,84.86,43.95,1.65,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 01:00:00,324.39,135.29,63.75,80.5,48.64,1.58,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 01:15:00,329.91,132.25,68.53,82.54,48.33,1.5,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 01:30:00,335.3,139.66,65.85,81.07,51.44,1.68,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 01:45:00,340.7,140.84,70.34,87.28,51.27,1.85,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 02:00:00,346.1,134.84,72.31,87.7,51.23,2.03,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 02:15:00,351.49,134.74,68.4,87.02,50.1,2.2,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 02:30:00,356.34,145.52,75.4,88.76,56.04,2.08,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 02:45:00,361.18,138.66,74.39,86.14,56.98,1.95,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 03:00:00,366.03,146.4,71.6,89.11,54.1,1.82,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 03:15:00,370.87,139.81,71.79,100.99,54.11,1.7,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 03:30:00,375.62,149.51,78.05,97.23,57.89,1.55,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 03:45:00,380.37,153.92,73.54,99.46,53.38,1.4,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 04:00:00,385.12,148.05,73.29,95.67,58.0,1.25,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 04:15:00,389.86,154.77,82.06,98.99,58.21,1.1,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 04:30:00,393.56,154.67,79.46,100.12,59.22,1.1,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 04:45:00,397.25,161.7,79.2,100.56,61.35,1.1,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 05:00:00,400.95,156.89,81.58,102.46,59.7,1.1,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 05:15:00,404.64,161.55,81.23,102.0,57.15,1.1,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 05:30:00,406.65,155.79,88.15,96.52,55.33,0.82,1
BLD-HQ-01,MAIN-METER-01,2025-07-28 05:45:00,408.66,162.34,78.44,97.48,61.9,0.55,4
BLD-HQ-01,MAIN-METER-01,2025-07-28 06:00:00,410.67,173.95,82.17,97.91,60.68,0.28,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 06:15:00,412.68,162.79,80.57,92.48,59.85,0.0,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 06:30:00,413.09,168.1,81.92,99.88,61.51,-0.18,8
BLD-HQ-01,MAIN-METER-01,2025-07-28 06:45:00,413.49,169.46,78.27,104.49,60.44,-0.35,8
BLD-HQ-01,MAIN-METER-01,2025-07-28 07:00:00,413.9,170.73,83.14,104.19,60.72,-0.52,8
BLD-HQ-01,MAIN-METER-01,2025-07-28 07:15:00,414.3,166.08,79.47,100.21,58.72,-0.7,8
BLD-HQ-01,MAIN-METER-01,2025-07-28 07:30:00,411.82,170.99,83.86,104.75,63.68,-1.05,8
BLD-HQ-01,MAIN-METER-01,2025-07-28 07:45:00,409.35,160.14,79.65,107.28,62.96,-1.4,8
BLD-HQ-01,MAIN-METER-01,2025-07-28 08:00:00,406.87,164.64,79.59,102.37,61.42,-1.75,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 08:15:00,404.39,153.99,85.09,94.36,60.3,-2.1,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 08:30:00,399.68,159.45,77.76,99.57,56.43,-2.6,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 08:45:00,394.96,160.09,78.14,97.85,59.75,-3.1,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 09:00:00,390.25,154.62,75.02,96.16,59.05,-3.6,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 09:15:00,385.53,153.18,75.9,91.6,59.25,-4.1,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 09:30:00,380.43,155.91,76.01,88.24,58.45,-4.27,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 09:45:00,375.32,146.52,75.03,97.35,60.01,-4.45,6
BLD-HQ-01,MAIN-METER-01,2025-07-28 10:00:00,370.22,149.64,71.34,92.03,54.25,-4.62,6
BLD-HQ-01,MAIN-METER-01,2025-07-28 10:15:00,365.11,146.48,72.69,85.36,54.82,-4.8,4
BLD-HQ-01,MAIN-METER-01,2025-07-28 10:30:00,362.65,146.03,71.87,88.67,53.9,-5.0,3
BLD-HQ-01,MAIN-METER-01,2025-07-28 10:45:00,360.2,141.49,75.27,92.59,49.66,-5.2,2
BLD-HQ-01,MAIN-METER-01,2025-07-28 11:00:00,357.74,154.38,71.42,89.76,53.59,-5.4,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 11:15:00,355.28,142.06,70.93,89.87,53.39,-5.6,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 11:30:00,351.32,139.82,70.63,89.65,51.79,-5.65,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 11:45:00,347.36,141.63,70.91,86.29,52.03,-5.7,6
BLD-HQ-01,MAIN-METER-01,2025-07-28 12:00:00,343.4,130.64,69.9,86.22,51.44,-5.75,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 12:15:00,339.44,140.38,69.8,82.78,51.79,-5.8,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 12:30:00,332.31,136.43,64.35,85.62,49.09,-6.1,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 12:45:00,325.18,129.59,61.65,84.17,46.66,-6.4,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 13:00:00,318.05,134.47,63.02,80.76,47.28,-6.7,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 13:15:00,310.92,122.48,60.1,78.75,45.44,-7.0,8
BLD-HQ-01,MAIN-METER-01,2025-07-28 13:30:00,303.99,112.8,60.46,74.55,47.42,-7.1,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 13:45:00,297.06,117.23,57.9,72.79,44.46,-7.2,7
BLD-HQ-01,MAIN-METER-01,2025-07-28 14:00:00,290.12,114.89,58.7,69.2,44.17,-7.3,8
BLD-HQ-01,MAIN-METER-01,2025-07-28 14:15:00,283.19,112.01,55.25,71.63,43.97,-7.4,8
BLD-HQ-01,MAIN-METER-01,2025-07-28 14:30:00,276.71,110.05,52.5,68.15,41.81,-7.8,8
BLD-HQ-01,MAIN-METER-01,2025-07-28 14:45:00,270.23,105.49,51.76,63.3,40.86,-8.2,8
BLD-HQ-01,MAIN-METER-01,2025-07-28 15:00:00,263.75,103.74,50.93,65.07,38.1,-8.6,6
BLD-HQ-01,MAIN-METER-01,2025-07-28 15:15:00,257.27,101.34,52.66,65.87,39.51,-9.0,4
BLD-HQ-01,MAIN-METER-01,2025-07-28 15:30:00,253.12,103.47,51.91,64.78,37.51,-9.18,3
BLD-HQ-01,MAIN-METER-01,2025-07-28 15:45:00,248.97,103.35,50.88,57.99,36.93,-9.35,2
BLD-HQ-01,MAIN-METER-01,2025-07-28 16:00:00,244.82,100.52,48.56,63.55,36.22,-9.52,3
BLD-HQ-01,MAIN-METER-01,2025-07-28 16:15:00,240.67,98.91,47.95,58.29,34.6,-9.7,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 16:30:00,238.01,90.98,45.95,59.03,34.84,-9.9,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 16:45:00,235.36,90.61,45.38,57.22,36.24,-10.1,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 17:00:00,232.7,92.09,46.33,56.79,34.14,-10.3,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 17:15:00,230.04,92.81,47.65,59.02,34.6,-10.5,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 17:30:00,228.49,90.68,45.76,56.08,35.43,-10.7,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 17:45:00,226.94,92.11,45.84,53.97,33.92,-10.9,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 18:00:00,225.38,94.4,45.11,52.25,34.7,-11.1,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 18:15:00,223.83,90.4,46.97,56.69,32.61,-11.3,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 18:30:00,224.39,93.27,45.06,58.26,35.7,-11.62,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 18:45:00,224.94,91.21,44.07,55.71,33.95,-11.95,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 19:00:00,225.5,93.48,41.63,56.64,33.73,-12.28,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 19:15:00,226.06,88.49,44.04,57.68,33.87,-12.6,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 19:30:00,228.92,88.36,44.2,58.37,34.99,-12.68,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 19:45:00,231.79,94.47,47.35,55.32,33.96,-12.75,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 20:00:00,234.66,95.93,47.77,60.35,34.6,-12.82,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 20:15:00,237.52,99.65,47.03,60.71,34.86,-12.9,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 20:30:00,241.82,93.63,47.13,58.65,35.63,-13.0,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 20:45:00,246.12,99.28,49.86,61.86,36.38,-13.1,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 21:00:00,250.42,96.14,50.44,63.89,36.49,-13.2,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 21:15:00,254.71,106.18,52.28,66.23,39.89,-13.3,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 21:30:00,260.5,103.3,51.62,66.94,38.97,-13.48,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 21:45:00,266.28,109.61,50.66,65.27,40.87,-13.65,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 22:00:00,272.07,107.77,55.68,65.01,40.58,-13.82,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 22:15:00,277.85,106.56,58.39,70.59,40.44,-14.0,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 22:30:00,283.81,110.81,57.32,69.8,40.95,-14.2,1
BLD-HQ-01,MAIN-METER-01,2025-07-28 22:45:00,289.77,113.63,57.46,76.25,42.5,-14.4,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 23:00:00,295.73,117.66,60.18,71.57,43.31,-14.6,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 23:15:00,301.68,125.55,60.47,74.25,48.35,-14.8,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 23:30:00,307.34,126.57,60.0,72.81,42.59,-14.85,0
BLD-HQ-01,MAIN-METER-01,2025-07-28 23:45:00,312.99,128.73,59.3,76.61,45.97,-14.9,0
BLD-HQ-01,MAIN-METER-01,2025-07-29 00:00:00,318.64,130.43,61.42,77.14,46.55,-14.95,0
BLD-HQ-01,MAIN-METER-01,2025-07-29 00:15:00,324.3,130.94,64.58,81.1,50.16,-15.0,0
BLD-HQ-01,MAIN-METER-01,2025-07-29 00:30:00,330.32,136.49,66.69,84.89,53.47,-15.08,0
BLD-HQ-01,MAIN-METER-01,2025-07-29 00:45:00,336.35,142.56,67.05,86.3,50.23,-15.15,0
BLD-HQ-01,MAIN-METER-01,2025-07-29 01:00:00,342.37,138.63,67.37,82.63,53.96,-15.23,0
