event_id,access_point_id,access_point_name,zone_id,risk_level,employee_id,timestamp,access_granted,is_anomaly,anomaly_type
EVT-0022574,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0215,2026-07-01 15:09:22,True,False,
EVT-0045356,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0085,2026-07-01 15:09:51,True,False,
EVT-0045358,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0187,2026-07-01 15:09:55,True,False,
EVT-0045359,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0030,2026-07-01 15:10:04,True,False,
EVT-0082114,AP-07,Emergency Exit - East,,medium,EMP-0001,2026-07-01 15:10:19,True,False,
EVT-0022577,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0220,2026-07-01 15:11:18,True,False,
EVT-0075937,AP-06,Loading Dock,,medium,EMP-0088,2026-07-01 15:11:45,True,False,
EVT-0045360,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0073,2026-07-01 15:12:25,True,False,
EVT-0000011,AP-01,Main Entrance,ZN-06,low,EMP-0061,2026-07-01 15:12:40,True,False,
EVT-0075938,AP-06,Loading Dock,,medium,EMP-0104,2026-07-01 15:13:02,True,False,
EVT-0075936,AP-06,Loading Dock,,medium,EMP-0209,2026-07-01 15:13:18,True,False,
EVT-0022578,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0188,2026-07-01 15:13:25,True,False,
EVT-0022576,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0149,2026-07-01 15:13:45,True,False,
EVT-0000012,AP-01,Main Entrance,ZN-06,low,EMP-0027,2026-07-01 15:14:04,True,False,
EVT-0000010,AP-01,Main Entrance,ZN-06,low,EMP-0007,2026-07-01 15:14:37,True,False,
EVT-0000014,AP-01,Main Entrance,ZN-06,low,EMP-0107,2026-07-01 15:14:39,True,False,
EVT-0000013,AP-01,Main Entrance,ZN-06,low,EMP-0210,2026-07-01 15:14:55,True,False,
EVT-0045361,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0026,2026-07-01 15:14:59,True,False,
EVT-0000018,AP-01,Main Entrance,ZN-06,low,EMP-0005,2026-07-01 15:15:07,True,False,
EVT-0068195,AP-04,Server Room Door,ZN-07,high,EMP-0173,2026-07-01 15:16:05,False,True,unauthorized_restricted_zone_access
EVT-0000019,AP-01,Main Entrance,ZN-06,low,EMP-0172,2026-07-01 15:16:51,True,False,
EVT-0045364,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0205,2026-07-01 15:17:04,True,False,
EVT-0075939,AP-06,Loading Dock,,medium,EMP-0117,2026-07-01 15:17:30,True,False,
EVT-0045362,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0137,2026-07-01 15:17:30,True,False,
EVT-0022579,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0158,2026-07-01 15:17:41,True,False,
EVT-0045363,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0157,2026-07-01 15:17:48,True,False,
EVT-0022580,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0131,2026-07-01 15:18:21,True,False,
EVT-0000017,AP-01,Main Entrance,ZN-06,low,EMP-0042,2026-07-01 15:18:26,True,False,
EVT-0000015,AP-01,Main Entrance,ZN-06,low,EMP-0140,2026-07-01 15:18:39,True,False,
EVT-0000016,AP-01,Main Entrance,ZN-06,low,EMP-0119,2026-07-01 15:18:44,True,False,
EVT-0069468,AP-05,Executive Wing Door,ZN-08,medium,EMP-0217,2026-07-01 15:19:14,True,False,
EVT-0082115,AP-07,Emergency Exit - East,,medium,EMP-0113,2026-07-01 15:19:32,True,False,
EVT-0022581,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0145,2026-07-01 15:19:33,True,False,
EVT-0075940,AP-06,Loading Dock,,medium,EMP-0208,2026-07-01 15:19:34,True,False,
EVT-0000022,AP-01,Main Entrance,ZN-06,low,EMP-0071,2026-07-01 15:21:27,True,False,
EVT-0069470,AP-05,Executive Wing Door,ZN-08,medium,EMP-0004,2026-07-01 15:21:33,True,False,
EVT-0022582,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0091,2026-07-01 15:22:05,True,False,
EVT-0000021,AP-01,Main Entrance,ZN-06,low,EMP-0079,2026-07-01 15:22:09,True,False,
EVT-0075941,AP-06,Loading Dock,,medium,EMP-0144,2026-07-01 15:22:52,True,False,
EVT-0045365,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0027,2026-07-01 15:23:52,True,False,
EVT-0069469,AP-05,Executive Wing Door,ZN-08,medium,EMP-0217,2026-07-01 15:24:18,True,False,
EVT-0045366,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0043,2026-07-01 15:24:41,True,False,
EVT-0000020,AP-01,Main Entrance,ZN-06,low,EMP-0023,2026-07-01 15:24:50,True,False,
EVT-0045367,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0206,2026-07-01 15:24:51,True,False,
EVT-0022585,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0118,2026-07-01 15:25:03,True,False,
EVT-0069471,AP-05,Executive Wing Door,ZN-08,medium,EMP-0076,2026-07-01 15:25:40,True,False,
EVT-0000023,AP-01,Main Entrance,ZN-06,low,EMP-0063,2026-07-01 15:25:49,True,False,
EVT-0045369,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0108,2026-07-01 15:26:29,True,False,
EVT-0022583,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0001,2026-07-01 15:27:54,True,False,
EVT-0022584,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0066,2026-07-01 15:28:22,True,False,
EVT-0045368,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0121,2026-07-01 15:28:33,True,False,
EVT-0000025,AP-01,Main Entrance,ZN-06,low,EMP-0081,2026-07-01 15:28:55,True,False,
EVT-0000026,AP-01,Main Entrance,ZN-06,low,EMP-0209,2026-07-01 15:29:02,True,False,
EVT-0000024,AP-01,Main Entrance,ZN-06,low,EMP-0082,2026-07-01 15:29:05,True,False,
EVT-0045370,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0168,2026-07-01 15:29:17,True,False,
EVT-0000027,AP-01,Main Entrance,ZN-06,low,EMP-0201,2026-07-01 15:29:49,True,False,
EVT-0022588,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0075,2026-07-01 15:31:41,True,False,
EVT-0069472,AP-05,Executive Wing Door,ZN-08,medium,EMP-0175,2026-07-01 15:32:04,True,False,
EVT-0045374,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0172,2026-07-01 15:32:10,True,False,
EVT-0045373,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0198,2026-07-01 15:32:28,True,False,
EVT-0075942,AP-06,Loading Dock,,medium,EMP-0075,2026-07-01 15:32:44,True,False,
EVT-0082116,AP-07,Emergency Exit - East,,medium,EMP-0013,2026-07-01 15:32:47,True,False,
EVT-0000028,AP-01,Main Entrance,ZN-06,low,EMP-0210,2026-07-01 15:32:50,True,False,
EVT-0045372,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0040,2026-07-01 15:33:09,True,False,
EVT-0022587,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0073,2026-07-01 15:33:41,True,False,
EVT-0045371,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0168,2026-07-01 15:33:44,True,False,
EVT-0022586,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0003,2026-07-01 15:34:38,True,False,
EVT-0000031,AP-01,Main Entrance,ZN-06,low,EMP-0036,2026-07-01 15:35:03,True,False,
EVT-0022591,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0048,2026-07-01 15:35:30,True,False,
EVT-0082118,AP-07,Emergency Exit - East,,medium,EMP-0213,2026-07-01 15:35:32,True,False,
EVT-0000030,AP-01,Main Entrance,ZN-06,low,EMP-0206,2026-07-01 15:35:54,True,False,
EVT-0000032,AP-01,Main Entrance,ZN-06,low,EMP-0129,2026-07-01 15:36:21,True,False,
EVT-0045377,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0097,2026-07-01 15:36:29,True,False,
EVT-0069473,AP-05,Executive Wing Door,ZN-08,medium,EMP-0091,2026-07-01 15:36:35,True,False,
EVT-0000029,AP-01,Main Entrance,ZN-06,low,EMP-0002,2026-07-01 15:36:53,True,False,
EVT-0022592,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0109,2026-07-01 15:38:16,True,False,
EVT-0082117,AP-07,Emergency Exit - East,,medium,EMP-0095,2026-07-01 15:38:19,True,False,
EVT-0045376,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0174,2026-07-01 15:38:21,True,False,
EVT-0022589,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0085,2026-07-01 15:38:34,True,False,
EVT-0022590,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0155,2026-07-01 15:38:37,True,False,
EVT-0068196,AP-04,Server Room Door,ZN-07,high,EMP-0056,2026-07-01 15:39:17,True,True,unauthorized_restricted_zone_access
EVT-0045375,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0182,2026-07-01 15:39:33,True,False,
EVT-0069474,AP-05,Executive Wing Door,ZN-08,medium,EMP-0201,2026-07-01 15:40:32,True,False,
EVT-0022593,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0144,2026-07-01 15:41:22,True,False,
EVT-0000033,AP-01,Main Entrance,ZN-06,low,EMP-0061,2026-07-01 15:41:36,True,False,
EVT-0000034,AP-01,Main Entrance,ZN-06,low,EMP-0210,2026-07-01 15:42:21,True,False,
EVT-0022594,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0181,2026-07-01 15:43:36,True,False,
EVT-0045379,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0010,2026-07-01 15:43:51,True,False,
EVT-0022595,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0093,2026-07-01 15:44:13,True,False,
EVT-0045380,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0044,2026-07-01 15:44:14,True,False,
EVT-0069475,AP-05,Executive Wing Door,ZN-08,medium,EMP-0132,2026-07-01 15:44:29,True,False,
EVT-0045378,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0147,2026-07-01 15:44:42,True,False,
EVT-0068197,AP-04,Server Room Door,ZN-07,high,EMP-0100,2026-07-01 15:44:53,True,True,unauthorized_restricted_zone_access
EVT-0082119,AP-07,Emergency Exit - East,,medium,EMP-0045,2026-07-01 15:45:05,True,False,
EVT-0022598,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0101,2026-07-01 15:45:15,True,False,
EVT-0000037,AP-01,Main Entrance,ZN-06,low,EMP-0052,2026-07-01 15:45:20,True,False,
EVT-0000035,AP-01,Main Entrance,ZN-06,low,EMP-0187,2026-07-01 15:45:55,True,False,
EVT-0045384,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0207,2026-07-01 15:46:02,True,False,
EVT-0045385,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0101,2026-07-01 15:46:17,True,False,
EVT-0045383,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0143,2026-07-01 15:46:32,True,False,
EVT-0045381,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0050,2026-07-01 15:46:39,True,False,
EVT-0000036,AP-01,Main Entrance,ZN-06,low,EMP-0182,2026-07-01 15:46:45,True,False,
EVT-0045382,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0203,2026-07-01 15:46:49,True,False,
EVT-0022596,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0056,2026-07-01 15:47:53,True,False,
EVT-0000038,AP-01,Main Entrance,ZN-06,low,EMP-0068,2026-07-01 15:48:43,True,False,
EVT-0022597,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0208,2026-07-01 15:48:55,True,False,
EVT-0045386,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0135,2026-07-01 15:50:10,True,False,
EVT-0000042,AP-01,Main Entrance,ZN-06,low,EMP-0132,2026-07-01 15:51:08,True,False,
EVT-0000039,AP-01,Main Entrance,ZN-06,low,EMP-0006,2026-07-01 15:51:49,True,False,
EVT-0000041,AP-01,Main Entrance,ZN-06,low,EMP-0200,2026-07-01 15:52:14,True,False,
EVT-0068198,AP-04,Server Room Door,ZN-07,high,EMP-0011,2026-07-01 15:53:35,False,True,unauthorized_restricted_zone_access
EVT-0022600,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0147,2026-07-01 15:53:39,True,False,
EVT-0000040,AP-01,Main Entrance,ZN-06,low,EMP-0073,2026-07-01 15:53:57,True,False,
EVT-0022599,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0040,2026-07-01 15:54:40,True,False,
EVT-0045389,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0093,2026-07-01 15:55:29,True,False,
EVT-0022604,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0192,2026-07-01 15:56:03,True,False,
EVT-0022601,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0056,2026-07-01 15:56:16,True,False,
EVT-0082120,AP-07,Emergency Exit - East,,medium,EMP-0031,2026-07-01 15:56:33,True,False,
EVT-0022607,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0113,2026-07-01 15:56:37,True,False,
EVT-0069476,AP-05,Executive Wing Door,ZN-08,medium,EMP-0017,2026-07-01 15:56:49,True,False,
EVT-0045387,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0158,2026-07-01 15:56:58,True,False,
EVT-0082121,AP-07,Emergency Exit - East,,medium,EMP-0065,2026-07-01 15:57:31,True,False,
EVT-0022606,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0119,2026-07-01 15:57:35,True,False,
EVT-0075943,AP-06,Loading Dock,,medium,EMP-0152,2026-07-01 15:57:38,True,False,
EVT-0000043,AP-01,Main Entrance,ZN-06,low,EMP-0011,2026-07-01 15:57:42,True,False,
EVT-0069477,AP-05,Executive Wing Door,ZN-08,medium,EMP-0057,2026-07-01 15:57:55,True,False,
EVT-0022602,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0213,2026-07-01 15:58:15,True,False,
EVT-0022603,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0045,2026-07-01 15:58:20,True,False,
EVT-0022605,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0189,2026-07-01 15:59:01,True,False,
EVT-0045388,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0147,2026-07-01 15:59:02,True,False,
EVT-0045390,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0093,2026-07-01 16:00:06,True,False,
EVT-0068199,AP-04,Server Room Door,ZN-07,high,EMP-0212,2026-07-01 16:00:07,True,True,unauthorized_restricted_zone_access
EVT-0045394,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0151,2026-07-01 16:00:51,True,False,
EVT-0082122,AP-07,Emergency Exit - East,,medium,EMP-0054,2026-07-01 16:00:57,True,False,
EVT-0000046,AP-01,Main Entrance,ZN-06,low,EMP-0045,2026-07-01 16:01:21,True,False,
EVT-0000045,AP-01,Main Entrance,ZN-06,low,EMP-0076,2026-07-01 16:01:24,True,False,
EVT-0022611,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0167,2026-07-01 16:02:14,True,False,
EVT-0022609,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0202,2026-07-01 16:02:37,True,False,
EVT-0045391,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0069,2026-07-01 16:03:08,True,False,
EVT-0045392,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0057,2026-07-01 16:03:21,True,False,
EVT-0022608,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0062,2026-07-01 16:03:44,True,False,
EVT-0022610,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0206,2026-07-01 16:03:51,True,False,
EVT-0022612,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0200,2026-07-01 16:04:06,True,False,
EVT-0000044,AP-01,Main Entrance,ZN-06,low,EMP-0069,2026-07-01 16:04:27,True,False,
EVT-0045393,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0028,2026-07-01 16:04:45,True,False,
EVT-0045395,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0042,2026-07-01 16:04:49,True,False,
EVT-0045396,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0159,2026-07-01 16:05:21,True,False,
EVT-0082124,AP-07,Emergency Exit - East,,medium,EMP-0018,2026-07-01 16:05:49,True,False,
EVT-0082123,AP-07,Emergency Exit - East,,medium,EMP-0021,2026-07-01 16:06:21,True,False,
EVT-0022614,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0172,2026-07-01 16:06:52,True,False,
EVT-0045397,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0217,2026-07-01 16:07:16,True,False,
EVT-0022613,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0055,2026-07-01 16:07:18,True,False,
EVT-0075944,AP-06,Loading Dock,,medium,EMP-0113,2026-07-01 16:07:31,True,False,
EVT-0000047,AP-01,Main Entrance,ZN-06,low,EMP-0059,2026-07-01 16:09:45,True,False,
EVT-0045402,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0062,2026-07-01 16:10:08,True,False,
EVT-0082126,AP-07,Emergency Exit - East,,medium,EMP-0033,2026-07-01 16:10:18,True,False,
EVT-0022617,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0182,2026-07-01 16:10:53,True,False,
EVT-0045401,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0107,2026-07-01 16:11:00,True,False,
EVT-0082125,AP-07,Emergency Exit - East,,medium,EMP-0212,2026-07-01 16:11:01,True,False,
EVT-0000048,AP-01,Main Entrance,ZN-06,low,EMP-0110,2026-07-01 16:11:15,True,False,
EVT-0045400,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0005,2026-07-01 16:11:17,True,False,
EVT-0045399,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0133,2026-07-01 16:11:59,True,False,
EVT-0069479,AP-05,Executive Wing Door,ZN-08,medium,EMP-0084,2026-07-01 16:12:01,True,False,
EVT-0045398,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0072,2026-07-01 16:12:50,True,False,
EVT-0069478,AP-05,Executive Wing Door,ZN-08,medium,EMP-0191,2026-07-01 16:13:03,True,False,
EVT-0022616,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0001,2026-07-01 16:13:24,False,False,
EVT-0022615,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0133,2026-07-01 16:13:39,True,False,
EVT-0075945,AP-06,Loading Dock,,medium,EMP-0214,2026-07-01 16:14:00,True,False,
EVT-0045403,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0162,2026-07-01 16:14:57,False,False,
EVT-0022624,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0100,2026-07-01 16:15:16,True,False,
EVT-0069480,AP-05,Executive Wing Door,ZN-08,medium,EMP-0071,2026-07-01 16:15:34,True,False,
EVT-0022621,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0062,2026-07-01 16:16:19,True,False,
EVT-0069481,AP-05,Executive Wing Door,ZN-08,medium,EMP-0005,2026-07-01 16:16:24,True,False,
EVT-0000049,AP-01,Main Entrance,ZN-06,low,EMP-0075,2026-07-01 16:17:44,True,False,
EVT-0022619,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0128,2026-07-01 16:17:50,True,False,
EVT-0045404,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0139,2026-07-01 16:18:03,True,False,
EVT-0045405,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0039,2026-07-01 16:18:18,True,False,
EVT-0022622,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0074,2026-07-01 16:18:34,True,False,
EVT-0022623,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0114,2026-07-01 16:18:55,True,False,
EVT-0022620,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0006,2026-07-01 16:19:18,True,False,
EVT-0022618,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0035,2026-07-01 16:19:30,True,False,
EVT-0082127,AP-07,Emergency Exit - East,,medium,EMP-0112,2026-07-01 16:19:37,True,False,
EVT-0075946,AP-06,Loading Dock,,medium,EMP-0067,2026-07-01 16:20:42,True,False,
EVT-0000050,AP-01,Main Entrance,ZN-06,low,EMP-0032,2026-07-01 16:20:43,True,False,
EVT-0082129,AP-07,Emergency Exit - East,,medium,EMP-0206,2026-07-01 16:21:28,True,False,
EVT-0000053,AP-01,Main Entrance,ZN-06,low,EMP-0171,2026-07-01 16:21:32,True,False,
EVT-0022630,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0079,2026-07-01 16:21:41,True,False,
EVT-0022627,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0176,2026-07-01 16:21:42,True,False,
EVT-0045406,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0215,2026-07-01 16:21:55,True,False,
EVT-0000052,AP-01,Main Entrance,ZN-06,low,EMP-0032,2026-07-01 16:21:56,True,False,
EVT-0022625,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0184,2026-07-01 16:22:07,True,False,
EVT-0022629,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0009,2026-07-01 16:22:11,True,False,
EVT-0069482,AP-05,Executive Wing Door,ZN-08,medium,EMP-0200,2026-07-01 16:22:14,True,False,
EVT-0022626,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0099,2026-07-01 16:22:16,True,False,
EVT-0045407,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0043,2026-07-01 16:22:27,True,False,
EVT-0022632,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0157,2026-07-01 16:22:39,True,False,
EVT-0082128,AP-07,Emergency Exit - East,,medium,EMP-0025,2026-07-01 16:23:39,True,False,
EVT-0022628,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0132,2026-07-01 16:23:42,True,False,
EVT-0022631,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0094,2026-07-01 16:23:53,True,False,
EVT-0000051,AP-01,Main Entrance,ZN-06,low,EMP-0114,2026-07-01 16:24:43,True,False,
EVT-0075947,AP-06,Loading Dock,,medium,EMP-0091,2026-07-01 16:25:01,True,False,
EVT-0068200,AP-04,Server Room Door,ZN-07,high,EMP-0030,2026-07-01 16:25:37,False,True,unauthorized_restricted_zone_access
EVT-0000054,AP-01,Main Entrance,ZN-06,low,EMP-0117,2026-07-01 16:25:43,True,False,
EVT-0075949,AP-06,Loading Dock,,medium,EMP-0175,2026-07-01 16:25:50,True,False,
EVT-0075948,AP-06,Loading Dock,,medium,EMP-0004,2026-07-01 16:26:08,True,False,
EVT-0045408,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0044,2026-07-01 16:26:09,True,False,
EVT-0022637,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0014,2026-07-01 16:26:09,True,False,
EVT-0045409,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0144,2026-07-01 16:26:13,True,False,
EVT-0022634,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0106,2026-07-01 16:26:31,True,False,
EVT-0069483,AP-05,Executive Wing Door,ZN-08,medium,EMP-0122,2026-07-01 16:26:44,True,False,
EVT-0000057,AP-01,Main Entrance,ZN-06,low,EMP-0112,2026-07-01 16:26:50,True,False,
EVT-0000055,AP-01,Main Entrance,ZN-06,low,EMP-0110,2026-07-01 16:27:17,True,False,
EVT-0022636,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0117,2026-07-01 16:27:33,True,False,
EVT-0022633,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0020,2026-07-01 16:28:39,True,False,
EVT-0082130,AP-07,Emergency Exit - East,,medium,EMP-0157,2026-07-01 16:28:50,True,False,
EVT-0022635,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0183,2026-07-01 16:29:32,True,False,
EVT-0000056,AP-01,Main Entrance,ZN-06,low,EMP-0169,2026-07-01 16:29:52,True,False,
EVT-0045411,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0198,2026-07-01 16:30:28,True,False,
EVT-0045413,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0205,2026-07-01 16:30:53,True,False,
EVT-0045412,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0137,2026-07-01 16:30:58,True,False,
EVT-0000058,AP-01,Main Entrance,ZN-06,low,EMP-0136,2026-07-01 16:31:46,True,False,
