cycle,temp_stage1_c,temp_stage2_c,temp_stage3_c,pressure_kpa,vibration_index,flow_rate,efficiency_ratio,bleed_load,true_rul_cycles,asset_id
89,642.24,1584.73,1402.22,553.91,47.46,521.55,8.4489,23.3288,103,AST-TRAIN-001
90,642.67,1584.38,1412.93,552.88,47.32,521.49,8.3961,23.4712,102,AST-TRAIN-001
91,641.98,1584.84,1404.76,553.54,47.32,521.55,8.3949,23.3842,101,AST-TRAIN-001
92,642.89,1590.03,1400.77,553.81,47.45,521.91,8.3982,23.3522,100,AST-TRAIN-001
93,642.85,1593.74,1408.48,554.07,47.46,521.43,8.421,23.2477,99,AST-TRAIN-001
94,642.45,1583.27,1404.94,553.86,47.48,521.61,8.4524,23.3758,98,AST-TRAIN-001
95,642.86,1577.6,1410.1,553.91,47.38,521.92,8.4575,23.3269,97,AST-TRAIN-001
96,642.19,1584.07,1395.16,553.34,47.39,521.66,8.4311,23.3255,96,AST-TRAIN-001
97,642.07,1595.77,1407.81,553.4,47.46,521.67,8.4105,23.2963,95,AST-TRAIN-001
98,642.0,1591.11,1404.56,552.75,47.37,522.31,8.4012,23.2554,94,AST-TRAIN-001
99,642.46,1592.73,1406.13,553.76,47.4,521.42,8.4481,23.2323,93,AST-TRAIN-001
100,642.22,1589.63,1411.35,554.22,47.64,521.55,8.4241,23.409,92,AST-TRAIN-001
101,642.75,1584.18,1403.41,553.37,47.62,521.89,8.4353,23.4149,91,AST-TRAIN-001
102,642.85,1589.11,1403.42,553.42,47.49,521.38,8.4561,23.3653,90,AST-TRAIN-001
103,642.21,1581.27,1403.21,553.64,47.57,521.41,8.4263,23.4289,89,AST-TRAIN-001
104,642.29,1590.63,1406.25,553.66,47.34,522.38,8.4021,23.3393,88,AST-TRAIN-001
105,642.01,1588.28,1403.22,553.11,47.31,521.81,8.4326,23.3857,87,AST-TRAIN-001
106,642.68,1589.05,1404.45,553.6,47.44,521.51,8.4664,23.4148,86,AST-TRAIN-001
107,642.53,1595.13,1407.73,553.74,47.35,521.75,8.4241,23.4086,85,AST-TRAIN-001
108,643.49,1585.91,1399.47,554.43,47.61,521.52,8.4133,23.3032,84,AST-TRAIN-001
109,642.49,1586.45,1409.1,553.59,47.58,521.62,8.3757,23.3561,83,AST-TRAIN-001
110,642.55,1590.01,1401.27,554.08,47.55,522.01,8.4638,23.2951,82,AST-TRAIN-001
111,642.67,1584.38,1408.11,553.49,47.62,521.53,8.4447,23.2135,81,AST-TRAIN-001
112,642.66,1586.46,1401.84,553.19,47.22,521.9,8.4445,23.3207,80,AST-TRAIN-001
113,642.68,1590.85,1406.59,552.91,47.46,521.75,8.458,23.3101,79,AST-TRAIN-001
114,642.31,1588.42,1402.97,554.29,47.58,521.68,8.429,23.3754,78,AST-TRAIN-001
115,642.66,1594.84,1406.6,554.13,47.43,521.36,8.4345,23.3022,77,AST-TRAIN-001
116,642.64,1580.31,1401.99,554.4,47.43,521.6,8.4059,23.3512,76,AST-TRAIN-001
117,642.38,1589.77,1409.35,554.59,47.52,521.22,8.4256,23.1766,75,AST-TRAIN-001
118,642.34,1585.67,1409.34,554.25,47.55,521.31,8.4197,23.2966,74,AST-TRAIN-001
119,642.67,1596.8,1404.46,553.77,47.55,521.46,8.4194,23.3188,73,AST-TRAIN-001
120,642.81,1593.78,1407.68,553.66,47.6,521.34,8.4029,23.3061,72,AST-TRAIN-001
121,642.63,1593.56,1411.9,553.7,47.44,521.3,8.4263,23.422,71,AST-TRAIN-001
122,643.3,1593.68,1413.97,553.43,47.6,520.92,8.4256,23.2793,70,AST-TRAIN-001
123,643.39,1586.66,1403.04,552.64,47.41,521.6,8.4396,23.292,69,AST-TRAIN-001
124,642.48,1587.14,1402.28,552.26,47.55,521.4,8.4416,23.2341,68,AST-TRAIN-001
125,642.96,1585.47,1406.42,552.44,47.63,521.57,8.4079,23.3039,67,AST-TRAIN-001
126,642.49,1582.64,1418.5,553.72,47.49,521.35,8.4378,23.2289,66,AST-TRAIN-001
127,642.99,1586.9,1399.49,553.81,47.63,521.34,8.4626,23.2772,65,AST-TRAIN-001
128,642.47,1593.87,1407.06,552.74,47.62,521.96,8.4413,23.2641,64,AST-TRAIN-001
129,642.41,1591.33,1408.42,552.42,47.61,522.02,8.4681,23.2656,63,AST-TRAIN-001
130,642.7,1585.9,1412.25,552.66,47.46,521.49,8.3938,23.3461,62,AST-TRAIN-001
131,643.01,1585.78,1413.25,553.7,47.7,521.45,8.4328,23.3435,61,AST-TRAIN-001
132,643.19,1596.06,1405.76,553.16,47.56,521.64,8.4227,23.3186,60,AST-TRAIN-001
133,642.45,1592.64,1410.11,553.82,47.57,521.23,8.4604,23.2521,59,AST-TRAIN-001
134,642.85,1583.62,1402.67,553.2,47.75,521.52,8.4293,23.2833,58,AST-TRAIN-001
135,642.45,1585.55,1406.83,553.09,47.34,520.99,8.4242,23.2744,57,AST-TRAIN-001
136,642.84,1584.72,1404.39,554.18,47.43,521.54,8.4469,23.1699,56,AST-TRAIN-001
137,642.43,1594.69,1405.15,553.39,47.89,521.63,8.449,23.2593,55,AST-TRAIN-001
138,642.79,1589.82,1413.34,552.91,47.4,521.57,8.4208,23.3664,54,AST-TRAIN-001
139,643.11,1592.28,1412.6,553.25,47.67,521.03,8.4621,23.3422,53,AST-TRAIN-001
140,643.05,1590.89,1408.36,552.15,47.51,521.27,8.4397,23.3704,52,AST-TRAIN-001
141,642.39,1590.02,1415.25,553.45,47.49,521.06,8.4641,23.2382,51,AST-TRAIN-001
142,642.51,1595.29,1413.42,553.11,47.59,520.44,8.4291,23.2816,50,AST-TRAIN-001
143,642.77,1593.1,1404.21,553.62,47.52,520.98,8.4419,23.2305,49,AST-TRAIN-001
144,643.09,1591.89,1405.76,553.77,47.57,521.11,8.4601,23.2249,48,AST-TRAIN-001
145,642.95,1594.92,1409.63,553.03,47.54,521.13,8.4644,23.149,47,AST-TRAIN-001
146,642.72,1586.75,1408.82,552.6,47.63,521.13,8.4312,23.3233,46,AST-TRAIN-001
147,642.25,1594.85,1409.96,553.09,47.8,520.92,8.4428,23.2684,45,AST-TRAIN-001
148,643.02,1590.03,1411.89,552.84,47.49,521.08,8.4276,23.2498,44,AST-TRAIN-001
149,642.9,1592.78,1410.7,552.54,47.83,521.13,8.4731,23.2565,43,AST-TRAIN-001
150,643.06,1589.01,1409.22,553.57,47.6,520.5,8.4726,23.2082,42,AST-TRAIN-001
151,642.82,1592.39,1411.94,552.41,47.58,520.94,8.4612,23.2277,41,AST-TRAIN-001
152,642.67,1598.6,1420.83,552.62,47.72,520.39,8.4572,23.2369,40,AST-TRAIN-001
153,642.99,1589.17,1414.56,552.68,47.74,520.69,8.4435,23.1719,39,AST-TRAIN-001
154,642.81,1597.03,1416.07,552.57,47.73,520.72,8.4794,23.2366,38,AST-TRAIN-001
155,642.83,1590.4,1414.89,552.89,47.61,521.23,8.4729,23.2749,37,AST-TRAIN-001
156,643.04,1585.61,1421.23,553.24,47.58,520.75,8.4432,23.2791,36,AST-TRAIN-001
157,642.2,1598.04,1412.47,552.32,47.72,520.94,8.4328,23.2354,35,AST-TRAIN-001
158,642.88,1596.82,1410.09,553.19,47.68,520.88,8.4368,23.2894,34,AST-TRAIN-001
159,642.89,1589.54,1420.37,552.18,47.76,520.65,8.4403,23.253,33,AST-TRAIN-001
160,643.45,1590.65,1418.08,551.87,47.84,520.47,8.4433,23.2817,32,AST-TRAIN-001
161,643.0,1594.2,1417.31,552.8,47.77,520.47,8.4405,23.2962,31,AST-TRAIN-001
162,643.15,1592.22,1423.48,552.68,47.79,520.44,8.5015,23.1538,30,AST-TRAIN-001
163,642.85,1600.54,1421.09,552.41,47.89,520.3,8.5129,23.1419,29,AST-TRAIN-001
164,643.17,1598.96,1416.76,551.9,47.7,520.63,8.4803,23.1761,28,AST-TRAIN-001
165,642.76,1597.03,1408.09,552.79,47.89,520.69,8.4922,23.2129,27,AST-TRAIN-001
166,643.34,1596.72,1422.37,552.13,47.86,520.02,8.4663,23.145,26,AST-TRAIN-001
167,643.02,1593.83,1414.72,552.57,47.85,520.49,8.4632,23.3011,25,AST-TRAIN-001
168,642.68,1591.19,1415.7,552.09,47.84,520.78,8.4925,23.277,24,AST-TRAIN-001
169,643.2,1590.16,1418.05,552.71,47.88,520.44,8.4767,23.187,23,AST-TRAIN-001
170,642.92,1592.71,1417.41,552.02,47.86,520.23,8.49,23.1615,22,AST-TRAIN-001
171,643.26,1592.06,1414.99,552.71,48.03,519.85,8.4922,23.2444,21,AST-TRAIN-001
172,643.33,1591.71,1413.73,551.69,48.07,520.54,8.4595,23.1585,20,AST-TRAIN-001
173,642.97,1590.69,1425.27,552.13,47.9,520.11,8.5091,23.1789,19,AST-TRAIN-001
174,642.64,1599.81,1422.58,552.32,48.0,520.22,8.4476,23.0357,18,AST-TRAIN-001
175,643.61,1603.29,1422.52,551.64,47.86,520.38,8.489,23.1573,17,AST-TRAIN-001
176,642.86,1592.27,1422.73,551.91,47.84,519.8,8.4853,23.2491,16,AST-TRAIN-001
177,643.79,1602.02,1423.99,551.93,48.03,520.24,8.4779,23.1673,15,AST-TRAIN-001
178,643.38,1605.33,1424.65,552.18,48.0,520.2,8.477,23.177,14,AST-TRAIN-001
179,642.86,1592.56,1429.45,551.57,48.02,520.38,8.4947,23.1888,13,AST-TRAIN-001
180,643.58,1599.87,1417.14,552.91,47.85,519.84,8.4737,23.007,12,AST-TRAIN-001
181,643.44,1596.71,1420.64,551.83,48.1,520.43,8.472,23.1652,11,AST-TRAIN-001
182,644.21,1602.08,1426.62,551.9,47.98,520.46,8.5158,23.1787,10,AST-TRAIN-001
183,643.24,1597.23,1419.03,551.38,48.03,520.05,8.5041,23.1302,9,AST-TRAIN-001
184,644.07,1605.44,1432.52,551.0,48.07,519.77,8.5133,23.0146,8,AST-TRAIN-001
185,643.8,1603.46,1424.4,551.64,48.15,519.82,8.4984,23.07,7,AST-TRAIN-001
186,643.51,1595.16,1426.3,552.57,48.12,520.08,8.5227,23.0564,6,AST-TRAIN-001
187,643.32,1592.1,1427.27,551.08,48.23,519.53,8.5218,23.0822,5,AST-TRAIN-001
188,643.75,1602.38,1422.78,551.94,48.0,519.79,8.5207,22.9588,4,AST-TRAIN-001
189,644.18,1596.17,1428.01,550.7,48.08,519.58,8.5183,23.1127,3,AST-TRAIN-001
190,643.64,1599.22,1425.95,551.29,48.33,520.04,8.5223,23.0675,2,AST-TRAIN-001
191,643.34,1602.36,1425.77,550.92,48.15,519.57,8.5174,23.1295,1,AST-TRAIN-001
192,643.54,1601.41,1427.2,551.25,48.25,520.08,8.5113,22.9649,0,AST-TRAIN-001
1,641.89,1583.84,1391.28,554.53,46.93,522.33,8.3905,23.4585,125,AST-TRAIN-002
2,641.82,1587.05,1393.13,554.77,47.24,522.7,8.4167,23.4085,125,AST-TRAIN-002
3,641.55,1588.32,1398.96,555.14,47.22,522.58,8.3802,23.425,125,AST-TRAIN-002
4,641.68,1584.15,1396.08,554.25,47.1,522.49,8.4018,23.5027,125,AST-TRAIN-002
5,641.73,1579.03,1402.52,555.12,47.25,522.27,8.3867,23.4234,125,AST-TRAIN-002
6,641.3,1577.5,1396.76,554.98,47.05,522.8,8.38,23.427,125,AST-TRAIN-002
7,642.03,1587.49,1400.65,554.84,47.1,522.14,8.3941,23.4718,125,AST-TRAIN-002
8,642.55,1590.41,1395.39,554.65,47.2,522.77,8.3861,23.4381,125,AST-TRAIN-002
9,641.98,1581.99,1395.01,554.69,47.14,522.4,8.3868,23.4875,125,AST-TRAIN-002
10,641.99,1586.37,1394.86,554.63,47.21,521.99,8.3982,23.6005,125,AST-TRAIN-002
11,642.26,1589.21,1401.29,554.7,47.21,522.2,8.4188,23.3888,125,AST-TRAIN-002
12,641.64,1579.99,1401.9,554.57,47.13,521.94,8.3925,23.4201,125,AST-TRAIN-002
13,641.78,1586.77,1401.53,554.69,47.03,522.33,8.3742,23.4317,125,AST-TRAIN-002
14,641.66,1584.04,1395.46,554.47,47.12,523.07,8.3887,23.4074,125,AST-TRAIN-002
15,642.21,1579.84,1402.11,554.17,47.17,521.96,8.3704,23.4311,125,AST-TRAIN-002
16,641.81,1581.99,1393.46,554.53,47.24,522.49,8.3805,23.4462,125,AST-TRAIN-002
17,642.43,1583.58,1390.27,553.62,47.13,522.71,8.3714,23.5245,125,AST-TRAIN-002
18,641.95,1588.43,1400.25,554.83,47.22,522.92,8.4053,23.4203,125,AST-TRAIN-002
19,641.75,1576.84,1401.77,555.25,47.14,522.38,8.4035,23.4102,125,AST-TRAIN-002
20,642.34,1582.94,1394.38,554.64,47.14,522.54,8.3698,23.3821,125,AST-TRAIN-002
21,642.05,1579.51,1392.28,554.72,47.04,522.58,8.3954,23.5014,125,AST-TRAIN-002
22,642.16,1580.18,1397.67,554.35,47.17,521.73,8.3792,23.4241,125,AST-TRAIN-002
23,642.37,1580.89,1387.5,554.69,47.21,522.26,8.3937,23.2867,125,AST-TRAIN-002
24,641.99,1580.97,1398.67,553.5,47.15,522.25,8.3866,23.3981,125,AST-TRAIN-002
25,641.81,1585.38,1396.62,554.14,47.19,522.31,8.3959,23.4883,125,AST-TRAIN-002
26,641.87,1575.38,1392.3,554.03,47.12,522.8,8.3472,23.4691,125,AST-TRAIN-002
27,642.12,1585.44,1402.31,555.16,47.03,522.11,8.4077,23.4275,125,AST-TRAIN-002
28,642.04,1581.6,1397.45,554.77,46.99,522.68,8.3734,23.4395,125,AST-TRAIN-002
29,642.08,1583.78,1398.08,554.75,47.11,522.26,8.37,23.4249,125,AST-TRAIN-002
30,641.78,1590.32,1395.07,554.62,47.2,522.43,8.419,23.3985,125,AST-TRAIN-002
31,641.97,1579.86,1390.94,554.8,47.05,522.17,8.4393,23.4154,125,AST-TRAIN-002
32,641.58,1584.52,1391.11,554.56,47.12,522.54,8.3783,23.4006,125,AST-TRAIN-002
33,641.79,1585.17,1396.15,553.62,47.09,522.26,8.4102,23.4434,125,AST-TRAIN-002
34,642.12,1584.08,1394.24,555.09,47.22,522.64,8.4188,23.4571,125,AST-TRAIN-002
35,641.37,1575.73,1392.55,554.73,47.25,522.0,8.4164,23.5283,125,AST-TRAIN-002
36,641.27,1581.56,1397.13,554.59,47.21,522.32,8.3709,23.3881,125,AST-TRAIN-002
37,642.1,1585.63,1396.29,555.01,47.16,522.69,8.3609,23.4047,125,AST-TRAIN-002
38,642.22,1585.15,1397.75,554.21,47.22,522.13,8.4069,23.4191,125,AST-TRAIN-002
39,642.0,1585.69,1391.49,554.05,47.2,522.79,8.3755,23.4489,125,AST-TRAIN-002
40,642.02,1582.69,1398.38,554.07,47.22,522.3,8.401,23.4402,125,AST-TRAIN-002
41,642.41,1578.97,1398.74,554.34,47.26,522.22,8.3856,23.3071,125,AST-TRAIN-002
42,642.27,1579.21,1392.13,553.98,47.14,522.87,8.3449,23.4631,125,AST-TRAIN-002
43,642.02,1580.59,1391.6,554.14,47.08,522.9,8.4144,23.4966,125,AST-TRAIN-002
44,642.01,1584.33,1398.69,554.16,47.22,522.77,8.4087,23.4546,125,AST-TRAIN-002
45,642.05,1586.41,1397.6,554.2,47.17,522.27,8.3847,23.4284,125,AST-TRAIN-002
46,642.15,1575.45,1392.6,554.54,47.19,522.08,8.3994,23.5041,125,AST-TRAIN-002
47,642.4,1583.85,1396.46,554.96,47.03,522.73,8.3756,23.3447,125,AST-TRAIN-002
48,642.09,1586.71,1397.95,554.67,47.18,522.41,8.3821,23.4336,125,AST-TRAIN-002
49,642.85,1583.86,1396.5,554.04,47.18,522.83,8.4024,23.4871,125,AST-TRAIN-002
50,642.02,1577.86,1399.78,554.73,47.16,522.16,8.4042,23.353,125,AST-TRAIN-002
51,642.03,1585.34,1393.06,555.02,47.03,522.34,8.3731,23.3239,125,AST-TRAIN-002
52,641.52,1588.48,1401.66,554.76,47.09,522.58,8.4064,23.3668,125,AST-TRAIN-002
53,642.0,1584.9,1397.09,554.33,46.98,522.73,8.411,23.5307,125,AST-TRAIN-002
54,641.58,1583.46,1405.33,554.42,47.1,522.48,8.4057,23.3626,125,AST-TRAIN-002
55,642.33,1585.59,1387.16,554.54,47.18,522.7,8.4077,23.3779,125,AST-TRAIN-002
56,641.84,1587.04,1388.97,554.72,47.03,522.1,8.393,23.3796,125,AST-TRAIN-002
57,642.5,1584.13,1389.62,553.87,47.17,521.98,8.4008,23.4544,125,AST-TRAIN-002
58,642.3,1582.93,1389.91,554.46,47.3,522.24,8.3731,23.3861,125,AST-TRAIN-002
59,642.48,1584.24,1397.95,554.6,47.17,522.78,8.4036,23.4347,125,AST-TRAIN-002
60,642.09,1584.57,1396.84,554.06,47.12,521.93,8.4003,23.3928,125,AST-TRAIN-002
61,642.41,1585.45,1399.71,555.08,47.09,522.69,8.4006,23.2745,125,AST-TRAIN-002
62,641.81,1577.87,1401.66,554.52,47.27,521.78,8.4193,23.4442,125,AST-TRAIN-002
63,641.91,1575.83,1395.05,554.63,47.17,522.15,8.3867,23.325,125,AST-TRAIN-002
64,641.66,1581.65,1401.46,554.93,47.11,522.18,8.4144,23.398,125,AST-TRAIN-002
65,641.7,1582.59,1395.4,554.28,47.34,522.52,8.4128,23.3455,125,AST-TRAIN-002
66,642.26,1584.6,1394.01,554.11,47.17,522.65,8.4121,23.426,125,AST-TRAIN-002
67,642.17,1587.63,1395.44,554.99,46.96,522.58,8.3761,23.3933,125,AST-TRAIN-002
68,642.5,1577.16,1399.27,554.07,47.16,522.2,8.4141,23.4076,125,AST-TRAIN-002
69,642.73,1586.47,1399.73,554.35,47.33,522.21,8.4116,23.3783,125,AST-TRAIN-002
70,641.76,1593.24,1397.3,554.47,47.26,522.17,8.4118,23.3894,125,AST-TRAIN-002
71,642.39,1586.68,1403.09,555.01,47.24,522.02,8.3993,23.317,125,AST-TRAIN-002
72,642.48,1583.11,1393.85,554.54,47.19,522.4,8.4012,23.4393,125,AST-TRAIN-002
73,641.73,1586.57,1400.98,554.41,47.15,522.95,8.3896,23.4567,125,AST-TRAIN-002
74,642.39,1584.04,1396.13,555.36,47.25,521.97,8.3932,23.4015,125,AST-TRAIN-002
75,641.64,1578.27,1390.64,555.45,47.09,522.54,8.3944,23.421,125,AST-TRAIN-002
76,642.01,1586.91,1399.66,554.05,46.99,522.08,8.3629,23.4591,125,AST-TRAIN-002
77,641.97,1588.54,1395.38,554.06,46.95,522.36,8.4399,23.4969,125,AST-TRAIN-002
78,642.44,1587.2,1394.24,554.83,47.12,522.57,8.4018,23.5367,125,AST-TRAIN-002
79,641.62,1585.59,1398.51,554.19,47.23,522.26,8.3931,23.2873,125,AST-TRAIN-002
80,641.37,1588.33,1394.0,554.94,47.2,523.26,8.3889,23.4198,125,AST-TRAIN-002
