asset_id,name,asset_type,location,building_id
AST-054,Boiler-054,Boiler,Basement Utility,BLD-HQ-01
AST-055,Elevator-055,Elevator Motor,Elevator Machine Room,BLD-HQ-01
AST-056,Backup-056,Backup Generator,Generator Yard,BLD-HQ-01
AST-057,HVAC-057,HVAC Chiller,Mechanical Room A,BLD-HQ-01
AST-058,Air-058,Air Handling Unit,Roof Plant,BLD-HQ-01
AST-059,Water-059,Water Pump,Basement Utility,BLD-HQ-01
AST-060,Air-060,Air Compressor,Mechanical Room B,BLD-HQ-01
AST-061,Cooling-061,Cooling Tower,Roof Plant,BLD-HQ-01
AST-062,Boiler-062,Boiler,Basement Utility,BLD-HQ-01
AST-063,Elevator-063,Elevator Motor,Elevator Machine Room,BLD-HQ-01
AST-064,Backup-064,Backup Generator,Generator Yard,BLD-HQ-01
AST-065,HVAC-065,HVAC Chiller,Mechanical Room A,BLD-HQ-01
AST-066,Air-066,Air Handling Unit,Roof Plant,BLD-HQ-01
AST-067,Water-067,Water Pump,Basement Utility,BLD-HQ-01
AST-068,Air-068,Air Compressor,Mechanical Room B,BLD-HQ-01
AST-069,Cooling-069,Cooling Tower,Roof Plant,BLD-HQ-01
AST-070,Boiler-070,Boiler,Basement Utility,BLD-HQ-01
AST-071,Elevator-071,Elevator Motor,Elevator Machine Room,BLD-HQ-01
AST-072,Backup-072,Backup Generator,Generator Yard,BLD-HQ-01
AST-073,HVAC-073,HVAC Chiller,Mechanical Room A,BLD-HQ-01
AST-074,Air-074,Air Handling Unit,Roof Plant,BLD-HQ-01
AST-075,Water-075,Water Pump,Basement Utility,BLD-HQ-01
AST-076,Air-076,Air Compressor,Mechanical Room B,BLD-HQ-01
AST-077,Cooling-077,Cooling Tower,Roof Plant,BLD-HQ-01
AST-078,Boiler-078,Boiler,Basement Utility,BLD-HQ-01
AST-079,Elevator-079,Elevator Motor,Elevator Machine Room,BLD-HQ-01
AST-080,Backup-080,Backup Generator,Generator Yard,BLD-HQ-01
AST-081,HVAC-081,HVAC Chiller,Mechanical Room A,BLD-HQ-01
AST-082,Air-082,Air Handling Unit,Roof Plant,BLD-HQ-01
AST-083,Water-083,Water Pump,Basement Utility,BLD-HQ-01
AST-084,Air-084,Air Compressor,Mechanical Room B,BLD-HQ-01
AST-085,Cooling-085,Cooling Tower,Roof Plant,BLD-HQ-01
AST-086,Boiler-086,Boiler,Basement Utility,BLD-HQ-01
AST-087,Elevator-087,Elevator Motor,Elevator Machine Room,BLD-HQ-01
AST-088,Backup-088,Backup Generator,Generator Yard,BLD-HQ-01
AST-089,HVAC-089,HVAC Chiller,Mechanical Room A,BLD-HQ-01
AST-090,Air-090,Air Handling Unit,Roof Plant,BLD-HQ-01
AST-091,Water-091,Water Pump,Basement Utility,BLD-HQ-01
AST-092,Air-092,Air Compressor,Mechanical Room B,BLD-HQ-01
AST-093,Cooling-093,Cooling Tower,Roof Plant,BLD-HQ-01
AST-094,Boiler-094,Boiler,Basement Utility,BLD-HQ-01
AST-095,Elevator-095,Elevator Motor,Elevator Machine Room,BLD-HQ-01
AST-096,Backup-096,Backup Generator,Generator Yard,BLD-HQ-01
AST-097,HVAC-097,HVAC Chiller,Mechanical Room A,BLD-HQ-01
AST-098,Air-098,Air Handling Unit,Roof Plant,BLD-HQ-01
AST-099,Water-099,Water Pump,Basement Utility,BLD-HQ-01
AST-100,Air-100,Air Compressor,Mechanical Room B,BLD-HQ-01
